"order_item_id","order_id","food_id","spicy_level","salty_level","sweet_level","final_price"
1,1,1,1,1,1,5000.00
2,1,2,1,1,1,5500.00
3,2,3,1,1,1,6000.00
4,4,4,1,1,1,7000.00
5,4,5,1,1,1,5800.00
6,5,6,1,1,1,7500.00
7,6,7,1,1,1,6200.00
8,7,8,2,1,3,6500.00
9,8,9,1,2,1,6000.00
10,9,10,1,1,2,7800.00
11,10,11,1,1,1,6800.00
12,11,12,1,1,1,5500.00
13,12,13,1,1,1,6300.00
14,13,14,1,1,1,5700.00
15,14,15,1,1,1,7000.00
16,15,16,1,1,1,8200.00
17,16,1,1,1,1,5000.00
18,17,3,1,1,1,6000.00
19,18,5,1,1,1,5800.00
20,19,7,1,1,1,6200.00
21,20,9,1,1,1,6000.00
22,21,11,1,1,1,6800.00
23,22,13,1,1,1,6300.00
24,23,15,1,1,1,7000.00
25,24,17,1,1,1,6700.00
26,25,19,1,1,1,6900.00
27,26,21,1,1,1,5200.00
28,27,23,1,1,1,8500.00
29,28,25,1,1,1,7200.00
30,29,27,1,1,1,6600.00
31,31,31,1,1,1,6000.00
32,31,32,1,1,1,6500.00
33,32,33,1,1,1,7000.00
34,34,34,1,1,1,8000.00
35,34,35,1,1,1,7800.00
36,35,36,1,1,1,7200.00
37,36,37,1,1,1,6800.00
38,37,38,2,1,3,7500.00
39,38,39,1,2,1,8500.00
40,39,40,1,1,2,8200.00
41,40,41,1,1,1,7600.00
42,41,42,1,1,1,6900.00
43,42,43,1,1,1,7300.00
44,43,44,1,1,1,7700.00
45,44,45,1,1,1,9000.00
46,45,46,1,1,1,8800.00
47,46,31,1,1,1,6000.00
48,47,33,1,1,1,7000.00
49,48,35,1,1,1,7800.00
50,49,37,1,1,1,6800.00
51,50,39,1,1,1,8500.00
52,51,41,1,1,1,7600.00
53,52,43,1,1,1,7300.00
54,53,45,1,1,1,9000.00
55,54,47,1,1,1,8000.00
56,55,49,1,1,1,8300.00
57,56,51,1,1,1,8500.00
58,57,53,1,1,1,8400.00
59,58,55,1,1,1,8800.00
60,59,57,1,1,1,8700.00
61,60,59,1,1,1,7900.00
62,61,61,1,1,1,8600.00
63,62,63,1,1,1,8900.00
64,63,65,1,1,1,8800.00
65,64,67,1,1,1,9500.00
66,65,69,1,1,1,12000.00
67,66,71,1,1,1,8900.00
68,67,73,1,1,1,8700.00
69,68,75,1,1,1,9100.00
70,69,77,1,1,1,9000.00
71,70,79,1,1,1,9800.00
72,71,81,1,1,1,9200.00
73,72,83,1,1,1,9400.00
74,73,85,1,1,1,9300.00
75,74,87,1,1,1,9100.00
76,75,89,1,1,1,10000.00
77,76,91,1,1,1,9500.00
78,77,93,1,1,1,9700.00
79,78,95,1,1,1,9800.00
80,79,97,1,1,1,9600.00
81,80,99,1,1,1,11000.00
82,81,101,1,1,1,9900.00
83,82,103,1,1,1,15000.00
84,83,105,1,1,1,9700.00
85,84,107,1,1,1,9300.00
86,85,109,1,1,1,9800.00
87,86,111,1,1,1,9900.00
88,87,113,1,1,1,10200.00
89,88,115,1,1,1,9700.00
90,89,117,1,1,1,10800.00
91,90,119,1,1,1,10500.00
92,91,121,1,1,1,10300.00
93,92,123,1,1,1,10100.00
94,93,125,1,1,1,10600.00
95,94,127,1,1,1,10400.00
96,95,129,1,1,1,13000.00
97,96,32,1,1,1,6500.00
98,97,34,1,1,1,8000.00
99,98,36,1,1,1,7200.00
100,99,38,1,1,1,7500.00
101,100,40,1,1,1,8200.00
102,101,42,1,1,1,6900.00
103,102,44,1,1,1,7700.00
104,103,46,1,1,1,8800.00
105,104,48,1,1,1,7400.00
106,105,50,1,1,1,5500.00
107,106,52,1,1,1,6000.00
108,107,54,1,1,1,7900.00
109,108,56,1,1,1,8100.00
110,109,58,1,1,1,5800.00
111,110,60,1,1,1,8200.00
112,111,62,1,1,1,8300.00
113,112,64,1,1,1,9200.00
114,113,66,1,1,1,8500.00
115,114,68,1,1,1,9300.00
116,115,70,1,1,1,15000.00
117,116,72,1,1,1,9200.00
118,117,74,1,1,1,7500.00
119,118,76,1,1,1,9400.00
120,119,78,1,1,1,8000.00
121,120,80,1,1,1,7800.00
122,121,82,1,1,1,7600.00
123,122,84,1,1,1,8500.00
124,123,86,1,1,1,8200.00
125,124,88,1,1,1,8800.00
126,125,90,1,1,1,9600.00
127,126,92,1,1,1,8400.00
128,127,94,1,1,1,9000.00
129,128,96,1,1,1,8600.00
130,129,98,1,1,1,9200.00
