"store_id","user_id","name","address","phone","description","photo_url","likes"
1,2,서연이네,서울시 강남구 테헤란로 123,"02-1234-5678",엄마의 마음으로 만드는 건강한 이유식,http://example.com/store1.jpg,150
2,5,현우네,서울시 서초구 강남대로 456,"02-2345-6789",신선한 재료로 만든 프리미엄 이유식,http://example.com/store2.jpg,200
3,7,지아네,서울시 송파구 올림픽로 789,"02-3456-7890",유기농 재료만 사용하는 아기 이유식 전문점,http://example.com/store3.jpg,180
4,9,서준이네,서울시 마포구 월드컵북로 101,"02-4567-8901",아빠가 만드는 영양만점 이유식,http://example.com/store4.jpg,120
5,12,채원이네,서울시 용산구 한강대로 202,"02-5678-9012",매일 아침 만드는 신선한 이유식,http://example.com/store5.jpg,250
6,14,유준이네,서울시 종로구 세종대로 303,"02-6789-0123",우리 아기를 위한 맞춤 이유식,http://example.com/store6.jpg,170
7,16,시우네,서울시 중구 을지로 404,"02-7890-1234",전통 방식으로 만드는 건강 이유식,http://example.com/store7.jpg,130
8,18,건우네,서울시 동대문구 왕산로 505,"02-8901-2345",깐깐한 엄마 아빠를 위한 이유식,http://example.com/store8.jpg,190
9,20,지호네,서울시 성동구 아차산로 606,"02-9012-3456",자연주의 이유식 전문점,http://example.com/store9.jpg,160
10,22,도현이네,서울시 광진구 능동로 707,"02-0123-4567",아기의 성장 단계에 맞춘 이유식,http://example.com/store10.jpg,220
11,24,준서네,서울시 강북구 도봉로 808,"02-1111-2222",친환경 재료로 만든 안전한 이유식,http://example.com/store11.jpg,140
12,26,하준이네,서울시 노원구 동일로 909,"02-2222-3333",정성 가득한 수제 이유식,http://example.com/store12.jpg,210
13,28,은우네,서울시 은평구 통일로 1010,"02-3333-4444",아기의 건강을 최우선으로 생각하는 이유식,http://example.com/store13.jpg,180
14,30,선우네,서울시 서대문구 연세로 1111,"02-4444-5555",사랑으로 만드는 우리 아기 첫 이유식,http://example.com/store14.jpg,230
15,2,서연이네 2호점,경기도 성남시 분당구 판교역로 1212,"031-123-4567",판교맘들을 위한 프리미엄 이유식,http://example.com/store15.jpg,300
16,5,현우네 2호점,경기도 수원시 영통구 광교중앙로 1313,"031-234-5678",광교 신도시의 건강한 이유식,http://example.com/store16.jpg,280
17,7,지아네 2호점,경기도 고양시 일산동구 중앙로 1414,"031-345-6789","일산 엄마들의 선택, 명품 이유식",http://example.com/store17.jpg,260
18,9,서준이네 2호점,경기도 부천시 길주로 1515,"032-456-7890","부천의 자랑, 우리 아기 이유식",http://example.com/store18.jpg,240
19,12,채원이네 2호점,인천시 연수구 송도국제대로 1616,"032-567-8901",송도 국제도시의 건강한 선택,http://example.com/store19.jpg,320
20,14,유준이네 2호점,인천시 남동구 예술로 1717,"032-678-9012",인천 맘들의 사랑을 받는 이유식,http://example.com/store20.jpg,290
21,16,시우네 2호점,대전시 서구 둔산로 1818,"042-789-0123","대전의 중심, 둔산동의 건강 이유식",http://example.com/store21.jpg,270
22,18,건우네 2호점,대전시 유성구 대학로 1919,"042-890-1234",유성구 엄마들의 안심 이유식,http://example.com/store22.jpg,310
23,20,지호네 2호점,광주시 서구 상무중앙로 2020,"062-901-2345","광주의 맛, 상무지구의 건강 이유식",http://example.com/store23.jpg,280
24,22,도현이네 2호점,광주시 동구 금남로 2121,"062-012-3456","금남로의 자랑, 우리 아기 이유식",http://example.com/store24.jpg,330
25,24,준서네 2호점,대구시 중구 동성로 2222,"053-111-2222","대구의 중심, 동성로의 건강 이유식",http://example.com/store25.jpg,350
26,26,하준이네 2호점,대구시 수성구 달구벌대로 2323,"053-222-3333",수성구 엄마들의 안심 이유식,http://example.com/store26.jpg,340
27,28,은우네 2호점,부산시 해운대구 마린시티2로 2424,"051-333-4444","부산의 자부심, 마린시티의 명품 이유식",http://example.com/store27.jpg,400
28,30,선우네 2호점,부산시 부산진구 중앙대로 2525,"051-444-5555","서면의 자랑, 우리 아기 이유식",http://example.com/store28.jpg,380
29,2,서연이네 3호점,울산시 남구 삼산로 2626,"052-555-6666","울산의 중심, 삼산동의 건강 이유식",http://example.com/store29.jpg,360
30,5,현우네 3호점,울산시 중구 번영로 2727,"052-666-7777",울산 엄마들의 안심 이유식,http://example.com/store30.jpg,370
31,32,지원이네,서울시 강남구 압구정로 123,"02-1111-1111",프리미엄 유기농 이유식,http://example.com/store31.jpg,280
32,34,여빈이네,서울시 서초구 신반포로 456,"02-2222-2222",매일 새벽 직송 재료로 만들어요,http://example.com/store32.jpg,320
33,36,고은이네,서울시 송파구 잠실로 789,"02-3333-3333",아기 전문 영양사가 설계한 이유식,http://example.com/store33.jpg,300
34,38,인나네,서울시 강동구 천호대로 101,"02-4444-4444",엄마의 정성을 담은 따뜻한 이유식,http://example.com/store34.jpg,260
35,40,예진이네,서울시 광진구 자양로 202,"02-5555-5555",깐깐한 엄마들을 위한 최고의 선택,http://example.com/store35.jpg,350
36,42,민아네,서울시 성동구 왕십리로 303,"02-6666-6666",우리 아기 첫 이유식은 민아네에서,http://example.com/store36.jpg,290
37,44,소희네,서울시 동대문구 답십리로 404,"02-7777-7777",건강과 맛을 모두 잡은 이유식,http://example.com/store37.jpg,270
38,46,은빈이네,서울시 중랑구 동일로 505,"02-8888-8888",변호사가 만든 믿을 수 있는 이유식,http://example.com/store38.jpg,380
39,48,현진이네,서울시 성북구 동소문로 606,"02-9999-9999",또 오해영? 아니 또 주문하게 되는 맛!,http://example.com/store39.jpg,310
40,50,태리네,서울시 강북구 인수봉로 707,"02-0000-0000",아가씨도 반한 바로 그 이유식,http://example.com/store40.jpg,400
41,52,수지네,서울시 도봉구 방학로 808,"02-1234-4321",국민 첫사랑이 만드는 첫 이유식,http://example.com/store41.jpg,420
42,54,민영이네,서울시 노원구 상계로 909,"02-2345-5432",김비서가 추천하는 바로 그 이유식,http://example.com/store42.jpg,390
43,56,아이유네,서울시 은평구 증산로 1010,"02-3456-6543","좋은 날, 좋은 이유식",http://example.com/store43.jpg,500
44,58,유정이네,서울시 서대문구 이화여대길 1111,"02-4567-7654",구르미 그린 달빛 아래 만든 이유식,http://example.com/store44.jpg,450
45,60,가영이네,서울시 마포구 독막로 1212,"02-5678-8765",여신강림! 이유식계의 여신,http://example.com/store45.jpg,430
46,62,세정이네,서울시 양천구 목동동로 1313,"02-6789-9876","경이로운 맛, 경이로운 이유식",http://example.com/store46.jpg,410
47,64,조이네,서울시 강서구 화곡로 1414,"02-7890-0987",상큼한 그녀처럼 맛있는 이유식,http://example.com/store47.jpg,440
48,66,혜윤이네,서울시 구로구 디지털로 1515,"02-8901-1098",어쩌다 발견한 최고의 이유식,http://example.com/store48.jpg,460
49,68,윤정이네,서울시 금천구 가산디지털1로 1616,"02-9012-2109","환혼도 반한 맛, 절대 놓치지 마세요",http://example.com/store49.jpg,480
50,70,호연이네,서울시 영등포구 국제금융로 1717,"02-0123-3210",오징어게임 우승상금으로 차린 이유식 가게,http://example.com/store50.jpg,550
51,72,유미네,서울시 동작구 여의대방로 1818,"02-1122-4321",지금 우리 학교는 이유식 타임!,http://example.com/store51.jpg,470
52,74,인아네,서울시 관악구 관악로 1919,"02-2233-5432",사내맞선 보고 찾는 바로 그 이유식,http://example.com/store52.jpg,490
